"";"Reading";"Listening music";"Cinema";"Show";"Exhibition";"Computer";"Sport";"Walking";"Travelling";"Playing music";"Collecting";"Volunteering";"Mechanic";"Gardening";"Knitting";"Cooking";"Fishing";"TV";"Sex";"Age";"Marital status";"Profession";"nb.activitees"
"23034710";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"3";"M";"(35,45]";"Divorcee";"Manual labourer";12
"23034810";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"2";"M";"[15,25]";"Single";NA;9
"23035110";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"F";"[15,25]";"Single";NA;5
"23035310";"1";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"2";"F";"(25,35]";"Married";"Employee";11
"23035410";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"3";"F";"(45,55]";"Married";"Employee";7
"23035610";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"M";"(45,55]";"Married";"Manual labourer";4
"23035710";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"F";"(25,35]";"Remarried";"Employee";8
"23035810";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"M";"(55,65]";"Married";"Manual labourer";3
"23035910";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"M";"(85,100]";"Widower";NA;0
"23036010";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"3";"F";"(55,65]";"Widower";"Employee";6
"23036110";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"M";"[15,25]";"Single";NA;6
"23036310";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"0";"4";"F";"(65,75]";"Widower";"Employee";12
"23036510";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"M";"(75,85]";"Married";NA;1
"23036910";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"M";"[15,25]";"Single";NA;4
"23037110";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"M";"(45,55]";"Married";"Manual labourer";3
"23037210";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"4";"F";"(35,45]";"Married";"Manual labourer";5
"23037410";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"F";"(35,45]";"Married";"Employee";2
"23037710";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"4";"M";"(35,45]";"Married";"Foreman";7
"23037810";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"4";"M";"(25,35]";"Married";"Manual labourer";7
"23038210";"1";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(45,55]";"Widower";"Employee";6
"23038310";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"F";"(75,85]";"Widower";"Employee";3
"23038610";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"1";"1";"0";"2";"F";"(25,35]";"Single";"Employee";12
"23038710";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"F";"(65,75]";"Married";"Employee";4
"23038810";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2";"M";"(25,35]";"Remarried";"Unskilled worker";8
"23038910";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"4";"F";"(25,35]";"Married";"Employee";12
"23039010";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"F";"(35,45]";"Divorcee";"Employee";5
"23039110";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"F";"(35,45]";"Divorcee";"Employee";5
"23039310";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"M";"(55,65]";"Married";"Manual labourer";2
"23039410";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"M";"(45,55]";"Married";"Manual labourer";3
"23039510";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"2";"M";"[15,25]";"Single";"Employee";11
"23039610";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"M";"(35,45]";"Married";"Manual labourer";5
"23039910";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"M";"(45,55]";"Married";"Manual labourer";4
"23040010";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"3";"M";"(65,75]";"Married";"Manual labourer";6
"23040110";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"M";"(55,65]";"Married";"Employee";4
"23040210";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"2";"M";"(45,55]";"Single";"Management";9
"23040310";"1";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"4";"F";"(45,55]";"Married";"Employee";8
"23040410";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"3";"F";"(35,45]";"Married";"Employee";9
"23040510";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"M";"[15,25]";"Single";"Foreman";8
"23040610";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"2";"M";"(35,45]";"Single";"Management";9
"23040910";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"M";"(25,35]";"Single";"Unskilled worker";2
"23041010";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"4";"F";"(55,65]";"Remarried";"Unskilled worker";6
"23041110";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"4";"F";"(25,35]";"Divorcee";"Unskilled worker";7
"23041210";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"F";"(25,35]";"Married";NA;3
"23041310";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"F";"(35,45]";"Divorcee";"Employee";2
"23041510";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"4";"F";"(45,55]";"Married";"Employee";9
"23041710";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"M";"(35,45]";"Married";"Manual labourer";5
"23041810";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"M";"(35,45]";"Married";"Manual labourer";9
"23041910";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"4";"F";"(45,55]";"Married";"Unskilled worker";4
"23042110";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"M";"(65,75]";"Married";"Manual labourer";4
"23042210";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"4";"M";"(55,65]";"Married";"Manual labourer";8
"23042310";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"M";"(35,45]";"Remarried";NA;2
"23042410";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(65,75]";"Married";NA;5
"23042510";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"3";"F";"(35,45]";"Married";"Unskilled worker";5
"23042610";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"F";"[15,25]";"Single";"Unskilled worker";6
"23042710";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(55,65]";"Widower";"Unskilled worker";1
"23042810";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"3";"F";"(45,55]";"Married";"Employee";6
"23042910";"0";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"F";"(55,65]";"Divorcee";"Management";7
"23043010";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"4";"M";"(55,65]";"Married";"Employee";5
"23043110";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"2";"M";"(45,55]";"Divorcee";"Unskilled worker";9
"23043310";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"M";"[15,25]";"Single";"Unskilled worker";6
"23043410";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"M";"(25,35]";"Single";"Unskilled worker";3
"23043510";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"F";"(65,75]";"Married";"Employee";4
"23043610";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"F";"[15,25]";"Single";"Employee";3
"23043710";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"M";"(35,45]";"Divorcee";"Employee";6
"23043810";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"M";"(35,45]";"Divorcee";NA;5
"23043910";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"3";"F";"(25,35]";"Single";"Employee";11
"23044010";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"F";"[15,25]";"Single";"Foreman";8
"23044110";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"4";"M";"(55,65]";"Divorcee";"Unskilled worker";6
"23044310";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"2";"M";"(35,45]";"Married";"Other";12
"23044510";"1";"1";"1";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"3";"M";"(55,65]";"Married";"Management";10
"23044610";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"F";"(35,45]";"Single";"Employee";6
"23044910";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(65,75]";"Widower";"Employee";3
"23045010";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"F";"(45,55]";"Divorcee";"Employee";4
"23045110";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"M";"[15,25]";"Single";"Technician";10
"23045210";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"3";"F";"(45,55]";"Remarried";"Employee";8
"23045410";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"M";"(45,55]";"Single";"Foreman";5
"23045510";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"F";"(25,35]";"Married";"Employee";6
"23045710";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"4";"F";"(55,65]";"Divorcee";"Foreman";4
"23045810";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"4";"M";"(25,35]";"Single";"Management";9
"23046210";"1";"1";"1";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"M";"[15,25]";"Single";"Employee";9
"23046310";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"4";"F";"(25,35]";"Remarried";"Employee";9
"23046410";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"F";"(25,35]";"Single";"Manual labourer";4
"23046710";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"F";"(55,65]";"Married";NA;3
"23046810";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"F";"(75,85]";"Widower";"Employee";3
"23046910";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"F";"(25,35]";"Divorcee";"Employee";7
"23047010";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"F";"(65,75]";"Married";"Employee";5
"23047110";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"4";"M";"(75,85]";"Remarried";"Management";10
"23047210";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"M";"(45,55]";"Married";"Foreman";4
"23047310";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"4";"F";"(65,75]";"Married";"Unskilled worker";9
"23047410";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"4";"F";"[15,25]";"Single";NA;7
"23047510";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"M";"(35,45]";"Remarried";"Manual labourer";9
"23047610";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"4";"M";"(55,65]";"Married";"Manual labourer";5
"23047810";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"M";"[15,25]";"Single";"Manual labourer";8
"23048110";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"M";"(45,55]";"Married";"Manual labourer";5
"23048310";"1";"1";"1";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"4";"F";"(45,55]";"Married";"Employee";12
"23048410";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"2";"F";"(45,55]";"Divorcee";"Employee";11
"23048510";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"1";"0";"1";"4";"F";"(45,55]";"Married";"Employee";12
"23048710";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"3";"F";"(25,35]";"Single";"Employee";9
"23048810";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"4";"M";"(25,35]";"Single";"Manual labourer";12
"23048910";"1";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"2";"M";"(35,45]";"Divorcee";"Foreman";12
"23049010";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"2";"F";"(45,55]";"Married";"Foreman";14
"23049110";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"3";"M";"(35,45]";"Single";"Unskilled worker";9
"23049310";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"F";"(35,45]";"Married";"Management";4
"23049510";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"4";"F";"(25,35]";"Married";"Employee";6
"23049610";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"F";"[15,25]";"Single";NA;9
"23050110";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"M";"(65,75]";"Widower";"Management";1
"23050610";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"M";"(35,45]";"Married";"Manual labourer";3
"23050910";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"4";"F";"(35,45]";"Married";NA;12
"23051010";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"F";"[15,25]";"Single";"Employee";3
"23051110";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"3";"F";"(35,45]";"Married";"Employee";8
"23051210";"1";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"M";"(45,55]";"Divorcee";"Foreman";9
"23051310";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"F";"(45,55]";"Widower";NA;3
"23051410";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"F";"(35,45]";"Married";"Employee";8
"23051610";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"M";"(55,65]";"Married";"Management";2
"23051710";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"2";"M";"(35,45]";"Married";"Manual labourer";5
"23051810";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"M";"(35,45]";"Single";"Management";8
"23051910";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"0";"3";"F";"(55,65]";"Married";"Employee";9
"23052310";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"M";"(45,55]";"Remarried";"Manual labourer";5
"23052410";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"3";"M";"(55,65]";"Married";"Foreman";14
"23052810";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"2";"F";"(25,35]";"Married";"Employee";9
"23052910";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"F";"(45,55]";"Remarried";"Management";4
"23053110";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"1";"1";"0";"0";"1";"4";"M";"(75,85]";"Married";NA;13
"23053210";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"4";"F";"(55,65]";"Married";"Employee";9
"23053310";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"4";"M";"(45,55]";"Married";"Employee";5
"23053410";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"3";"F";"(45,55]";"Married";"Manual labourer";12
"23053510";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"4";"F";"(45,55]";"Remarried";"Employee";7
"23053610";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"F";"(45,55]";"Married";"Employee";7
"23053710";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"3";"M";"(55,65]";"Married";"Employee";7
"23053910";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"M";"(45,55]";"Married";"Technician";8
"23054010";"1";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"M";"(65,75]";"Remarried";"Management";8
"23054210";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"4";"M";"(45,55]";"Married";"Management";12
"23054510";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"F";"(45,55]";"Remarried";"Employee";5
"23055010";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"0";"2";"M";"(35,45]";"Married";"Employee";12
"23055110";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"1";"0";"4";"F";"(45,55]";"Widower";"Technician";11
"23055210";"0";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"4";"M";"[15,25]";"Single";NA;9
"23055310";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"M";"(35,45]";"Single";"Employee";8
"23055410";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"F";"(45,55]";"Single";"Unskilled worker";6
"23055510";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"F";"(25,35]";"Married";"Employee";3
"23055710";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"F";"(25,35]";"Single";"Unskilled worker";5
"23055810";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"0";"2";"F";"(45,55]";"Married";"Management";12
"23056010";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"4";"F";"(55,65]";"Widower";"Employee";8
"23056310";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"F";"[15,25]";"Single";NA;12
"23056510";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"2";"M";"(35,45]";"Divorcee";NA;12
"23056610";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"M";"(55,65]";"Married";"Unskilled worker";5
"23056710";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"F";"(25,35]";"Married";NA;3
"23057210";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"M";"(55,65]";"Divorcee";"Management";3
"23057310";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"M";"(45,55]";"Married";"Unskilled worker";4
"23057410";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"4";"M";"(55,65]";"Married";"Technician";9
"23057510";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"1";"1";"3";"M";"(45,55]";"Married";"Manual labourer";11
"23057610";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"4";"M";"(45,55]";"Divorcee";"Foreman";8
"23058010";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"2";"M";"(35,45]";"Single";NA;8
"23058110";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"3";"F";"(45,55]";"Married";"Technician";9
"23058310";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"2";"M";"(55,65]";"Married";"Manual labourer";5
"23058410";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"F";"(25,35]";"Single";"Employee";5
"23058510";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(35,45]";"Married";"Employee";3
"23058710";"1";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"1";"1";"0";"3";"F";"(55,65]";"Divorcee";"Employee";10
"23058910";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"F";"(35,45]";"Married";"Employee";2
"23059010";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"3";"M";"(45,55]";"Divorcee";"Unskilled worker";9
"23059110";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"4";"F";"(45,55]";"Divorcee";"Management";7
"23059210";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"1";"0";"3";"M";"(35,45]";"Married";"Foreman";11
"23059310";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4";"F";"[15,25]";"Single";"Employee";6
"23059610";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"F";"(45,55]";"Divorcee";"Employee";3
"23059710";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"F";"(25,35]";"Married";"Employee";6
"23060210";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"2";"M";"(45,55]";"Married";"Employee";9
"23060410";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"F";"(75,85]";"Widower";"Foreman";5
"23060710";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"4";"M";"(55,65]";"Married";"Management";10
"23060810";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"4";"M";"(35,45]";"Married";"Management";11
"23060910";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"M";"(45,55]";"Divorcee";"Technician";7
"23061010";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"4";"F";"(55,65]";"Single";"Foreman";9
"23061110";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"4";"F";"(25,35]";"Married";"Employee";12
